date,week_day,precipitation,temperature
20170101,Sunday,0,44
20170102,Monday,7,42
20170103,Tuesday,8,46
20170104,Wednesday,48,47
20170105,Thursday,20,40
20170106,Friday,0,37
20170107,Saturday,19,48
20170108,Sunday,35,55
20170109,Monday,89,49
20170110,Tuesday,30,51
20170111,Wednesday,114,46
20170112,Thursday,9,42
20170113,Friday,11,45
20170114,Saturday,0,47
20170115,Sunday,0,42
20170116,Monday,0,43
20170117,Tuesday,0,41
20170118,Wednesday,4,46
20170119,Thursday,58,47
20170120,Friday,37,44
20170121,Saturday,80,45
20170122,Sunday,39,45
20170123,Monday,28,42
20170124,Tuesday,2,42
20170125,Wednesday,0,44
20170126,Thursday,0,45
20170127,Friday,0,47
20170128,Saturday,0,47
20170129,Sunday,0,50
20170130,Monday,0,51
20170131,Tuesday,0,49
20170201,Wednesday,0,49
20170202,Thursday,7,52
20170203,Friday,34,52
20170204,Saturday,6,51
20170205,Sunday,1,50
20170206,Monday,12,51
20170207,Tuesday,69,55
20170208,Wednesday,24,57
20170209,Thursday,4,55
20170210,Friday,44,51
20170211,Saturday,1,49
20170212,Sunday,0,54
20170213,Monday,0,53
20170214,Tuesday,0,56
20170215,Wednesday,0,57
20170216,Thursday,11,54
20170217,Friday,6,50
20170218,Saturday,22,48
20170219,Sunday,6,48
20170220,Monday,60,52
20170221,Tuesday,142,49
20170222,Wednesday,29,44
20170223,Thursday,1,42
20170224,Friday,0,43
20170225,Saturday,0,44
20170226,Sunday,0,45
20170227,Monday,5,44
20170228,Tuesday,0,46
20170301,Wednesday,0,50
20170302,Thursday,0,54
20170303,Friday,0,53
20170304,Saturday,0,48
20170305,Sunday,47,42
20170306,Monday,9,43
20170307,Tuesday,1,48
20170308,Wednesday,0,56
20170309,Thursday,0,60
20170310,Friday,0,59
20170311,Saturday,0,59
20170312,Sunday,0,62
20170313,Monday,0,64
20170314,Tuesday,0,66
20170315,Wednesday,0,55
20170316,Thursday,0,55
20170317,Friday,0,62
20170318,Saturday,0,56
20170319,Sunday,0,55
20170320,Monday,0,53
20170321,Tuesday,26,55
20170322,Wednesday,61,50
20170323,Thursday,5,49
20170324,Friday,1,49
20170325,Saturday,16,51
20170326,Sunday,0,51
20170327,Monday,7,52
20170328,Tuesday,0,58
20170329,Wednesday,0,58
20170330,Thursday,1,54
20170331,Friday,0,58
20170401,Saturday,0,62
20170402,Sunday,0,61
20170403,Monday,0,57
20170404,Tuesday,0,56
20170405,Wednesday,0,59
20170406,Thursday,0,53
20170407,Friday,43,51
20170408,Saturday,16,45
20170409,Sunday,3,48
20170410,Monday,0,52
20170411,Tuesday,0,54
20170412,Wednesday,0,53
20170413,Thursday,16,49
20170414,Friday,1,50
20170415,Saturday,0,55
20170416,Sunday,0,51
20170417,Monday,17,53
20170418,Tuesday,13,54
20170419,Wednesday,1,55
20170420,Thursday,20,57
20170421,Friday,0,61
20170422,Saturday,0,55
20170423,Sunday,0,53
20170424,Monday,0,51
20170425,Tuesday,0,53
20170426,Wednesday,0,53
20170427,Thursday,0,55
20170428,Friday,0,59
20170429,Saturday,0,64
20170430,Sunday,0,64
20170501,Monday,0,73
20170502,Tuesday,0,75
20170503,Wednesday,0,76
20170504,Thursday,0,62
20170505,Friday,0,54
20170506,Saturday,0,52
20170507,Sunday,0,58
20170508,Monday,0,59
20170509,Tuesday,0,62
20170510,Wednesday,0,52
20170511,Thursday,0,53
20170512,Friday,0,52
20170513,Saturday,0,51
20170514,Sunday,0,51
20170515,Monday,0,52
20170516,Tuesday,0,49
20170517,Wednesday,0,55
20170518,Thursday,0,63
20170519,Friday,0,69
20170520,Saturday,0,71
20170521,Sunday,0,74
20170522,Monday,0,68
20170523,Tuesday,0,62
20170524,Wednesday,0,53
20170525,Thursday,0,54
20170526,Friday,0,53
20170527,Saturday,0,54
20170528,Sunday,0,53
20170529,Monday,0,50
20170530,Tuesday,0,51
20170531,Wednesday,3,57
20170601,Thursday,0,57
20170602,Friday,0,60
20170603,Saturday,0,56
20170604,Sunday,0,56
20170605,Monday,0,59
20170606,Tuesday,0,55
20170607,Wednesday,0,54
20170608,Thursday,0,58
20170609,Friday,0,56
20170610,Saturday,0,55
20170611,Sunday,0,53
20170612,Monday,0,55
20170613,Tuesday,0,59
20170614,Wednesday,0,62
20170615,Thursday,0,64
20170616,Friday,0,70
20170617,Saturday,0,76
20170618,Sunday,0,84
20170619,Monday,0,75
20170620,Tuesday,0,68
20170621,Wednesday,0,70
20170622,Thursday,0,79
20170623,Friday,0,66
20170624,Saturday,0,59
20170625,Sunday,0,57
20170626,Monday,0,60
20170627,Tuesday,0,56
20170628,Wednesday,0,56
20170629,Thursday,0,56
20170630,Friday,0,55
20170701,Saturday,0,55
20170702,Sunday,0,57
20170703,Monday,0,59
20170704,Tuesday,0,58
20170705,Wednesday,0,60
20170706,Thursday,0,67
20170707,Friday,0,78
20170708,Saturday,0,76
20170709,Sunday,0,65
20170710,Monday,0,62
20170711,Tuesday,0,59
20170712,Wednesday,0,61
20170713,Thursday,0,62
20170714,Friday,0,65
20170715,Saturday,0,74
20170716,Sunday,0,79
20170717,Monday,0,68
20170718,Tuesday,0,56
20170719,Wednesday,0,60
20170720,Thursday,0,59
20170721,Friday,0,60
20170722,Saturday,0,71
20170723,Sunday,0,71
20170724,Monday,0,61
20170725,Tuesday,0,61
20170726,Wednesday,0,62
20170727,Thursday,0,69
20170728,Friday,0,62
